aid,cid,subtitle_url,subtitle
114763472310225,30750477366,[],
114646971387117,30386620170,[],
115463904429417,33536999426,[],
115473718971438,33591200046,[],
115353426337135,32983813578,[],
114845831664375,31016157272,[],
115473802862145,33591528131,[],
115468014785075,33556923206,[],
115472678853649,33583268963,[],
115400251606175,33211613591,[],
115358828660769,33006617593,[],
115449022908062,33454359151,[],
114985099397935,31533435234,[],
115451539495126,25893868249,[],
115462394350693,33526645688,[],
115258484069731,32596430747,[],
115450146981476,33461046644,[],
115421038514816,33327746755,[],
115423991301124,33332199557,[],
115051620994088,31788762919,[],
115445533312368,33439482377,[],
115462679560675,33529397830,[],
115353208295535,32982306383,[],
115416173118748,33276298298,[],
115378944480359,33102103603,[],
115382484472031,33113309986,[],
115327220324171,32922601025,[],
115476134954544,33607189319,[],
115466420885638,33537592603,[],
114472840662905,29858268774,[],
115321683972283,32859685199,[],
114517820313586,30003496384,[],
115382870411513,33119864560,[],
115473685414944,33590676029,[],
115405335043759,33235993965,[],
115468333553045,33560135678,[],
115474390060205,33595657478,[],
115002010766027,31596941023,[],
115443956192520,33429064550,[],
115403103673679,33225179428,[],
115373156340381,33073856951,[],
115473786281869,33591657243,[],
115472930442320,33584842180,[],
115471437268013,33575993751,[],
115082709180073,31910659116,[],
115470229312864,33572717699,[],
115474440396626,33596900846,[],
115446305069646,33444662798,[],
115338427505756,25877945035,[],
115432715458528,33373750751,[],
114471297160113,29850271775,[],
115410502419644,33262603990,[],
115335441161901,32908247989,[],
115439828992469,33412351081,[],
115372636247543,33070714422,[],
115458284131029,33505808280,[],
115462813783286,25895507832,[],
115423840310397,33332465589,[],
115456556009097,33495255927,[],
115443335431265,33435615284,[],
115427598402793,33348456223,[],
115382618685780,33117179353,[],
114792513733873,30834688495,[],
115326431796048,32875745114,[],
115473668771365,33590871992,[],
115445550029349,33439811515,[],
115304134870229,32793297015,[],
115319704194186,32849529438,[],
115400050220686,33248709553,[],
115472343310116,33580517952,[],
115461773594428,33522517241,[],
115435752132463,33471073696,[],
114900072402203,31219453168,[],
115336900839575,32913949605,[],
115353392848034,32976273476,[],
114941210137346,25833183918,[],
115371377956299,33062977762,[],
115435131371910,33390198987,[],
115415535584387,33286851247,[],
115468165717618,33559612187,[],
115360523228973,33015794753,[],
115443939414728,33429128846,[],
115171963965520,32259376850,[],
115337387444798,32915852885,[],
115449459114376,33456131765,[],
115093463369749,31948934879,[],
115377652632814,33095028295,[],
115468601988557,33413074408,[],
115469491115868,33561054849,[],
115129316410747,32095733517,[],
115190922221945,32333562067,[],
115293078686750,32746114382,[],
115185486398791,32314230344,[],
114476061819034,29864691018,[],
115474020966333,33592771639,[],
115468316775700,33560661898,[],
115366680395839,33043319971,[],
115462981556210,33531036218,[],
115382820016739,33119273340,[],
115388557955744,33150274546,[],
115433319438187,33409797701,[],
115423135663735,33328792603,[],
115474188737970,33603258434,[],
115422179361494,33321586455,[],
115460196601005,33512754894,[],
115418052167101,33303891387,[],
115212866820035,32416598403,[],
114705020488730,30568808633,[],
115473970633938,25897537874,[],
115211524639798,32408669027,[],
115444157514849,33430504808,[],
115461857613714,33522714589,[],
115475363271269,33602735587,[],
115434879782861,33376767345,[],
115470128650112,33571931093,[],
115474524275032,33597097454,[],
115410250762488,33261094666,[],
115394111078568,33179110079,[],
115445852017878,33459602303,[],
115469860340048,33570819229,[],
115175185324965,32275825690,[],
