aid,reply
114763472310225,"{'rpid': 267033354912, 'oid': 267033354912, 'mid': 499010944, 'count': 0, 'rcount': 0, 'ctime': 1751163022, 'like': 117, 'message': '国家和政府，人民子弟兵都在努力的救援和重建，还有大量的基层干部奋战在一线，请相信这些最可爱的人，灾难终将过去，希望定会到来。致敬为这场天灾付出爱心和行动的所有人，祝福榕江，加油榕江！'}"
114763472310225,"{'rpid': 265940006033, 'oid': 265940006033, 'mid': 641956085, 'count': 0, 'rcount': 0, 'ctime': 1751153509, 'like': 141, 'message': '这么多旅游户外博主好像只有你关注这个事'}"
114763472310225,"{'rpid': 265949486721, 'oid': 265949486721, 'mid': 44610170, 'count': 0, 'rcount': 0, 'ctime': 1751162967, 'like': 17, 'message': '榕江人民谢谢你[给心心]'}"
114763472310225,"{'rpid': 267023778960, 'oid': 267023778960, 'mid': 19519912, 'count': 0, 'rcount': 0, 'ctime': 1751153632, 'like': 29, 'message': '亚当你[支持]'}"
114763472310225,"{'rpid': 267023019792, 'oid': 267023019792, 'mid': 393448801, 'count': 2, 'rcount': 2, 'ctime': 1751152460, 'like': 24, 'message': 'https://b23.tv/BV1rBx5eeEeE'}"
114763472310225,"{'rpid': 265939841089, 'oid': 265939841089, 'mid': 1973293366, 'count': 0, 'rcount': 0, 'ctime': 1751153164, 'like': 7, 'message': 'You are so kind'}"
114763472310225,"{'rpid': 267042178944, 'oid': 267042178944, 'mid': 15452338, 'count': 3, 'rcount': 2, 'ctime': 1751168747, 'like': 3, 'message': '这消息我居然得从国际友人的视频里知道。。。'}"
114763472310225,"{'rpid': 265940393377, 'oid': 265940393377, 'mid': 87568457, 'count': 0, 'rcount': 0, 'ctime': 1751154211, 'like': 6, 'message': 'you are a good guy[给心心]'}"
114763472310225,"{'rpid': 265941630561, 'oid': 265941630561, 'mid': 7976775, 'count': 1, 'rcount': 1, 'ctime': 1751155908, 'like': 20, 'message': '天呐，好恐怖，我才知道有这种事，这得有多少家庭破碎啊，都淹到高架桥了！希望更多人获救希望更快救灾恢复正常'}"
114763472310225,"{'rpid': 267377202512, 'oid': 267377202512, 'mid': 15001536, 'count': 0, 'rcount': 0, 'ctime': 1751442030, 'like': 0, 'message': '没事的！政府办事杆杆的，福建省的人，有次在二楼睡觉被水泡醒，没等多久就被小船慢慢救出去了，顺手还捞了一只挺大的鱼！大家挺欢乐的！得救后，大家都参与帮忙！[笑哭][笑哭][笑哭]'}"
114763472310225,"{'rpid': 265942792625, 'oid': 265942792625, 'mid': 4917459, 'count': 3, 'rcount': 3, 'ctime': 1751157298, 'like': 8, 'message': '老哥你这数据有问题吧…水深 250m 那是在湖底吧'}"
114763472310225,"{'rpid': 265970372993, 'oid': 265970372993, 'mid': 695150485, 'count': 0, 'rcount': 0, 'ctime': 1751176052, 'like': 2, 'message': '中國人感謝你关怀及祝福！祝愿大家都平安！洪水早退，百姓早日重过正常生活！致敬努力拯救和後援的所有人员及自願者[福][福][福][给心心][给心心][给心心][加油][加油][加油]'}"
114763472310225,"{'rpid': 267051298608, 'oid': 267051298608, 'mid': 3546735257323640, 'count': 0, 'rcount': 0, 'ctime': 1751173887, 'like': 2, 'message': '祝平安！早日復原'}"
114763472310225,"{'rpid': 267024851440, 'oid': 267024851440, 'mid': 8641242, 'count': 0, 'rcount': 0, 'ctime': 1751155274, 'like': 5, 'message': '好样的[点赞]'}"
114763472310225,"{'rpid': 265982316897, 'oid': 265982316897, 'mid': 200038260, 'count': 0, 'rcount': 0, 'ctime': 1751184581, 'like': 2, 'message': '去年暑假带小孩去的榕江，很好的地方，美食、侗寨、村超以及悠闲的当地人给我留下深刻印象，吃住玩都很实惠，希望都赶紧好起来。'}"
114763472310225,"{'rpid': 267037913456, 'oid': 267037913456, 'mid': 1642900843, 'count': 0, 'rcount': 0, 'ctime': 1751166153, 'like': 3, 'message': '谢谢你'}"
114763472310225,"{'rpid': 265941561953, 'oid': 265941561953, 'mid': 377468987, 'count': 0, 'rcount': 0, 'ctime': 1751155702, 'like': 4, 'message': '太好了吧'}"
114763472310225,"{'rpid': 265985485121, 'oid': 265985485121, 'mid': 32516170, 'count': 0, 'rcount': 0, 'ctime': 1751186728, 'like': 1, 'message': '替榕江人民谢谢你'}"
114763472310225,"{'rpid': 266013167121, 'oid': 266013167121, 'mid': 6543072, 'count': 0, 'rcount': 0, 'ctime': 1751203771, 'like': 1, 'message': '唉，虽然有来自各地的人力支援和物资支援，但是排水问题还是尽人事再看天，这次洪灾是地理环境（盆地、河流、入水口多，出水口少）和天气（暴雨）双重导致，所以挺没办法'}"
114763472310225,"{'rpid': 265973331665, 'oid': 265973331665, 'mid': 1693238686, 'count': 0, 'rcount': 0, 'ctime': 1751178075, 'like': 1, 'message': '感谢您，善良的国际友人，别担心，我们有能力在最短时间内重建家园，欢迎您下次再来贵州踢球[给心心]'}"
114763472310225,"{'rpid': 266016685041, 'oid': 266016685041, 'mid': 17170564, 'count': 0, 'rcount': 0, 'ctime': 1751205804, 'like': 1, 'message': '这个上面的账户应该是真的吧！希望捐进去的钱都用于救援了'}"
114763472310225,"{'rpid': 267466371552, 'oid': 267466371552, 'mid': 477218329, 'count': 0, 'rcount': 0, 'ctime': 1751518126, 'like': 0, 'message': '感谢友人[抱拳]'}"
114763472310225,"{'rpid': 267293570848, 'oid': 267293570848, 'mid': 2322623, 'count': 0, 'rcount': 0, 'ctime': 1751370448, 'like': 0, 'message': '[打call][打call][打call]'}"
114763472310225,"{'rpid': 267193324272, 'oid': 267193324272, 'mid': 600029609, 'count': 0, 'rcount': 0, 'ctime': 1751285283, 'like': 0, 'message': '谢谢你！'}"
114763472310225,"{'rpid': 266207040449, 'oid': 266207040449, 'mid': 3546828079368199, 'count': 0, 'rcount': 0, 'ctime': 1751372796, 'like': 0, 'message': 'thank you !'}"
114763472310225,"{'rpid': 266249409361, 'oid': 266249409361, 'mid': 3546380886870853, 'count': 1, 'rcount': 1, 'ctime': 1751415435, 'like': 0, 'message': '同胞们保护好自己！'}"
114763472310225,"{'rpid': 266097102625, 'oid': 266097102625, 'mid': 271211479, 'count': 0, 'rcount': 0, 'ctime': 1751280466, 'like': 0, 'message': '谢谢啦。'}"
114763472310225,"{'rpid': 267352896560, 'oid': 267352896560, 'mid': 3546390558935419, 'count': 0, 'rcount': 0, 'ctime': 1751425550, 'like': 0, 'message': '@[支持][拥抱]'}"
114763472310225,"{'rpid': 266182081569, 'oid': 266182081569, 'mid': 553930173, 'count': 0, 'rcount': 0, 'ctime': 1751356997, 'like': 0, 'message': '榕江加油！我们中国人有句古话“人定胜天”，我们会团结在一起，没有什么能打败我们。淹一次，重建一次，再淹，再重建[奋斗]！'}"
114763472310225,"{'rpid': 266104005185, 'oid': 266104005185, 'mid': 307773656, 'count': 0, 'rcount': 0, 'ctime': 1751284435, 'like': 0, 'message': '[支持][支持]'}"
114763472310225,"{'rpid': 265941400817, 'oid': 265941400817, 'mid': 620146175, 'count': 0, 'rcount': 0, 'ctime': 1751155680, 'like': 1, 'message': '[脱单doge]'}"
114763472310225,"{'rpid': 266017852273, 'oid': 266017852273, 'mid': 2297783, 'count': 0, 'rcount': 0, 'ctime': 1751206421, 'like': 0, 'message': '谢谢你[桃源_缘分]'}"
114763472310225,"{'rpid': 267261480320, 'oid': 267261480320, 'mid': 21937412, 'count': 1, 'rcount': 0, 'ctime': 1751348751, 'like': 0, 'message': '上周和同事一起在红十字捐了一小点，希望贵州早日度过难关'}"
114763472310225,"{'rpid': 266038355233, 'oid': 266038355233, 'mid': 26014482, 'count': 0, 'rcount': 0, 'ctime': 1751223207, 'like': 0, 'message': 'Thank you for everything you done for 🇨🇳'}"
114763472310225,"{'rpid': 266063667025, 'oid': 266063667025, 'mid': 423802689, 'count': 0, 'rcount': 0, 'ctime': 1751257344, 'like': 0, 'message': '谢谢你[打call]'}"
114763472310225,"{'rpid': 267026478704, 'oid': 267026478704, 'mid': 270608009, 'count': 0, 'rcount': 0, 'ctime': 1751157252, 'like': 1, 'message': '[支持]'}"
114763472310225,"{'rpid': 267045290704, 'oid': 267045290704, 'mid': 3546389684422710, 'count': 0, 'rcount': 0, 'ctime': 1751170530, 'like': 1, 'message': '谢谢up对贵州榕江的支持[大哭][大哭][爱心][爱心]'}"
114763472310225,"{'rpid': 267025469136, 'oid': 267025469136, 'mid': 543168913, 'count': 0, 'rcount': 0, 'ctime': 1751155984, 'like': 1, 'message': '感谢你！亚当'}"
114763472310225,"{'rpid': 265970826561, 'oid': 265970826561, 'mid': 695150485, 'count': 0, 'rcount': 0, 'ctime': 1751176308, 'like': 0, 'message': 'Many thanks for your warm heart, Adam! May all the lovely citizens there be safe and restore their normal life quickly! Highest respect to all those including volunteers involved in the rescue![福][福][福][给心心][给心心][给心心][加油][加油][加油]'}"
114763472310225,"{'rpid': 265951234113, 'oid': 265951234113, 'mid': 436109389, 'count': 0, 'rcount': 0, 'ctime': 1751164261, 'like': 0, 'message': '谢谢！'}"
114763472310225,"{'rpid': 267023963360, 'oid': 267023963360, 'mid': 475798122, 'count': 0, 'rcount': 0, 'ctime': 1751154140, 'like': 1, 'message': '亚当[支持]'}"
114763472310225,"{'rpid': 266045549729, 'oid': 266045549729, 'mid': 19307997, 'count': 0, 'rcount': 0, 'ctime': 1751241846, 'like': 0, 'message': '谢谢你关注这件事[打call][打call]'}"
114763472310225,"{'rpid': 267039596128, 'oid': 267039596128, 'mid': 33392933, 'count': 0, 'rcount': 0, 'ctime': 1751167236, 'like': 0, 'message': '谢谢你'}"
114763472310225,"{'rpid': 267033884672, 'oid': 267033884672, 'mid': 3546735917926608, 'count': 0, 'rcount': 0, 'ctime': 1751163307, 'like': 0, 'message': '好人一生平安'}"
114763472310225,"{'rpid': 265962625249, 'oid': 265962625249, 'mid': 3493092848044780, 'count': 0, 'rcount': 0, 'ctime': 1751171512, 'like': 0, 'message': '[打call][打call][打call][打call][打call]谢谢你啊啊啊'}"
114763472310225,"{'rpid': 267038260672, 'oid': 267038260672, 'mid': 26369723, 'count': 0, 'rcount': 0, 'ctime': 1751166337, 'like': 0, 'message': '感谢感谢！[奋斗]'}"
114763472310225,"{'rpid': 267029797872, 'oid': 267029797872, 'mid': 12117846, 'count': 0, 'rcount': 0, 'ctime': 1751160199, 'like': 0, 'message': '[支持][支持][支持]'}"
